date,game,# of registrations,max ccu,avg ccu,# of unique users, revenue ,# of paying users,paying rate,arpu,arppu
1/30/14,Z Force,296,"1,864","1,027","6,213","$6,014",323,5.20%,$0.97,$18.62
1/30/14,Ranger Danger,527,"4,348","2,659","14,377","$14,382","1,099",7.64%,$1.00,$13.09
1/30/14,Queen Bee,139,"3,290","2,753","10,101","$3,935",117,1.16%,$0.39,$33.64
1/31/14,Z Force,325,"2,191","1,204","7,061","$7,323",381,5.40%,$1.04,$19.22
1/31/14,Ranger Danger,"1,033","4,735","2,916","15,467","$17,122","1,198",7.75%,$1.11,$14.29
1/31/14,Queen Bee,178,"4,271","3,354","10,810","$4,698",155,1.43%,$0.43,$30.31
2/1/14,Z Force,422,"2,177","1,399","7,261","$8,186",402,5.54%,$1.13,$20.36
2/1/14,Ranger Danger,935,"5,170","3,799","16,271","$19,104","1,342",8.25%,$1.17,$14.24
2/1/14,Queen Bee,220,"6,622","5,663","12,449","$35,449",738,5.93%,$2.85,$48.03
2/2/14,Z Force,397,"2,020","1,302","6,993","$7,464",376,5.38%,$1.07,$19.85
2/2/14,Ranger Danger,"1,259","5,094","3,754","16,410","$16,239","1,262",7.69%,$0.99,$12.87
2/2/14,Queen Bee,200,"4,589","3,900","11,376","$3,639",131,1.15%,$0.32,$27.78
2/3/14,Z Force,257,"1,827","1,022","6,084","$5,952",348,5.72%,$0.98,$17.10
2/3/14,Ranger Danger,"1,521","4,842","3,293","15,594","$15,438","1,159",7.43%,$0.99,$13.32
2/3/14,Queen Bee,162,"3,956","3,391","10,538","$3,293",132,1.25%,$0.31,$24.94
2/4/14,Z Force,266,"1,830",971,"5,960","$5,538",296,4.97%,$0.93,$18.71
2/4/14,Ranger Danger,988,"4,835","3,179","14,785","$17,023","1,169",7.91%,$1.15,$14.56
2/4/14,Queen Bee,150,"3,851","3,334","10,544","$3,455",118,1.12%,$0.33,$29.28
2/5/14,Z Force,264,"1,701",998,"5,786","$4,516",257,4.44%,$0.78,$17.57
2/5/14,Ranger Danger,856,"3,879","2,396","14,268","$26,188","1,710",11.99%,$1.84,$15.31
2/5/14,Queen Bee,154,"3,921","3,353","10,755","$3,277",124,1.15%,$0.30,$26.43
2/6/14,Z Force,244,"1,759",948,"5,821","$6,327",326,5.60%,$1.09,$19.41
2/6/14,Ranger Danger,"1,200","4,736","3,140","14,930","$19,705","1,338",8.96%,$1.32,$14.73
2/6/14,Queen Bee,137,"3,706","2,888","10,783","$2,676",122,1.13%,$0.25,$21.94
2/7/14,Z Force,279,"2,086","1,101","6,455","$5,915",321,4.97%,$0.92,$18.43
2/7/14,Ranger Danger,"1,296","4,942","3,129","15,653","$16,993","1,236",7.90%,$1.09,$13.75
2/7/14,Queen Bee,165,"4,200","3,691","11,241","$4,541",179,1.59%,$0.40,$25.37
2/8/14,Z Force,499,"2,119","1,398","7,122","$6,825",361,5.07%,$0.96,$18.91
2/8/14,Ranger Danger,652,"4,865","3,514","16,152","$16,924","1,345",8.33%,$1.05,$12.58
2/8/14,Queen Bee,132,"4,736","4,101","11,539","$5,689",201,1.74%,$0.49,$28.30
2/9/14,Z Force,507,"2,265","1,513","7,045","$6,890",391,5.55%,$0.98,$17.62
2/9/14,Ranger Danger,"1,370","5,168","3,792","16,691","$14,763","1,261",7.56%,$0.88,$11.71
2/9/14,Queen Bee,233,"4,705","3,990","11,553","$3,704",162,1.40%,$0.32,$22.87
2/10/14,Z Force,252,"1,890","1,065","6,112","$5,242",274,4.48%,$0.86,$19.13
2/10/14,Ranger Danger,"1,597","4,904","3,244","15,700","$12,054","1,068",6.80%,$0.77,$11.29
2/10/14,Queen Bee,186,"4,312","3,679","11,253","$3,704",125,1.11%,$0.33,$29.63
2/11/14,Z Force,307,"1,821",988,"6,139","$5,400",292,4.76%,$0.88,$18.49
2/11/14,Ranger Danger,"1,062","4,819","3,112","15,069","$12,562",997,6.62%,$0.83,$12.60
2/11/14,Queen Bee,194,"4,205","3,632","11,173","$3,824",141,1.26%,$0.34,$27.12
2/12/14,Z Force,321,"1,872","1,030","6,490","$5,417",282,4.35%,$0.83,$19.21
2/12/14,Ranger Danger,"1,152","4,601","3,068","15,050","$12,615",937,6.23%,$0.84,$13.46
2/12/14,Queen Bee,207,"4,079","3,500","11,202","$14,562",311,2.78%,$1.30,$46.82
2/13/14,Z Force,499,"2,484","1,360","7,794","$31,494",843,10.82%,$4.04,$37.36
2/13/14,Ranger Danger,"1,148","5,009","2,864","14,705","$11,918",938,6.38%,$0.81,$12.71
2/13/14,Queen Bee,166,"3,601","2,835","10,643","$7,853",218,2.05%,$0.74,$36.02
2/14/14,Z Force,561,"2,922","1,697","9,167","$24,595",804,8.77%,$2.68,$30.59
2/14/14,Ranger Danger,"1,063","4,903","3,433","15,898","$14,911","1,183",7.44%,$0.94,$12.60
2/14/14,Queen Bee,170,"4,481","3,998","11,105","$8,895",303,2.73%,$0.80,$29.36
2/15/14,Z Force,484,"3,082","2,081","9,537","$16,077",716,7.51%,$1.69,$22.45
2/15/14,Ranger Danger,997,"5,337","4,025","16,958","$14,429","1,255",7.40%,$0.85,$11.50
2/15/14,Queen Bee,203,"4,620","4,043","11,423","$4,956",220,1.93%,$0.43,$22.53
2/16/14,Z Force,439,"2,942","2,006","9,210","$13,143",586,6.36%,$1.43,$22.43
2/16/14,Ranger Danger,"1,257","5,408","4,115","17,221","$14,393","1,171",6.80%,$0.84,$12.29
2/16/14,Queen Bee,188,"4,584","3,901","11,412","$6,333",176,1.54%,$0.55,$35.99
2/17/14,Z Force,394,"2,865","1,702","8,708","$10,870",530,6.09%,$1.25,$20.51
2/17/14,Ranger Danger,"1,085","5,630","4,004","16,990","$13,570","1,094",6.44%,$0.80,$12.40
2/17/14,Queen Bee,175,"4,166","3,629","11,061","$32,035",381,3.45%,$2.90,$84.08
2/18/14,Z Force,647,"2,411","1,400","8,286","$9,283",456,5.50%,$1.12,$20.36
2/18/14,Ranger Danger,982,"5,218","3,649","15,976","$14,330","1,070",6.70%,$0.90,$13.39
2/18/14,Queen Bee,162,"4,219","3,577","11,049","$3,939",125,1.13%,$0.36,$31.51
2/19/14,Z Force,554,"2,475","1,365","8,012","$9,003",443,5.53%,$1.12,$20.32
2/19/14,Ranger Danger,"1,173","5,081","3,627","16,081","$10,535",972,6.04%,$0.66,$10.84
2/19/14,Queen Bee,155,"4,143","3,582","11,055","$3,817",104,0.94%,$0.35,$36.70
2/20/14,Z Force,430,"2,474","1,389","7,784","$8,593",424,5.45%,$1.10,$20.27
2/20/14,Ranger Danger,786,"4,881","3,301","15,414","$11,469",974,6.32%,$0.74,$11.77
2/20/14,Queen Bee,170,"3,831","3,404","10,911","$3,813",122,1.12%,$0.35,$31.26
2/21/14,Z Force,455,"2,863","1,634","8,672","$9,627",463,5.34%,$1.11,$20.79
2/21/14,Ranger Danger,"1,379","5,208","3,593","16,620","$12,281","1,047",6.30%,$0.74,$11.73
2/21/14,Queen Bee,175,"4,112","3,647","11,054","$5,989",191,1.73%,$0.54,$31.36
2/22/14,Z Force,453,"2,913","1,972","9,027","$9,055",517,5.73%,$1.00,$17.51
2/22/14,Ranger Danger,784,"5,370","4,040","16,827","$13,382","1,120",6.66%,$0.80,$11.95
2/22/14,Queen Bee,188,"4,462","3,866","11,216","$5,825",186,1.66%,$0.52,$31.32
2/23/14,Z Force,434,"2,597","1,769","8,506","$7,898",479,5.63%,$0.93,$16.49
2/23/14,Ranger Danger,"1,045","4,804","3,634","16,733","$11,624","1,090",6.51%,$0.69,$10.66
2/23/14,Queen Bee,150,"4,432","3,765","11,224","$5,018",157,1.40%,$0.45,$31.96
2/24/14,Z Force,344,"2,394","1,341","7,476","$9,225",420,5.62%,$1.23,$21.96
2/24/14,Ranger Danger,"1,344","4,248","2,901","15,324","$11,515",948,6.19%,$0.75,$12.15
2/24/14,Queen Bee,141,"4,011","3,442","10,811","$3,764",99,0.92%,$0.35,$38.02
2/25/14,Z Force,299,"2,372","1,307","7,200","$6,515",347,4.82%,$0.90,$18.78
2/25/14,Ranger Danger,"1,112","5,197","3,446","15,188","$9,022",860,5.66%,$0.59,$10.49
2/25/14,Queen Bee,160,"3,922","3,359","10,735","$3,286",81,0.76%,$0.31,$40.56
2/26/14,Z Force,293,"2,356","1,321","7,187","$8,107",374,5.20%,$1.13,$21.68
2/26/14,Ranger Danger,909,"3,560","2,184","17,351","$13,566",830,4.78%,$0.78,$16.34
2/26/14,Queen Bee,135,"3,795","3,254","10,749","$2,687",97,0.90%,$0.25,$27.70
2/27/14,Z Force,292,"2,356","1,316","7,485","$9,166",405,5.41%,$1.22,$22.63
2/27/14,Ranger Danger,"1,126","5,407","3,261","19,366","$13,829",957,4.94%,$0.71,$14.45
2/27/14,Queen Bee,146,"3,900","3,209","10,836","$4,042",108,1.00%,$0.37,$37.43
2/28/14,Z Force,305,"2,664","1,558","7,908","$10,273",442,5.59%,$1.30,$23.24
2/28/14,Ranger Danger,"1,438","5,668","4,089","21,359","$14,065","1,054",4.94%,$0.66,$13.34
2/28/14,Queen Bee,178,"4,551","3,918","11,545","$4,996",146,1.27%,$0.43,$34.22
3/1/14,Z Force,462,"2,784","1,851","8,698","$9,156",446,5.13%,$1.05,$20.53
3/1/14,Ranger Danger,"1,235","6,013","4,502","23,199","$14,616","1,124",4.85%,$0.63,$13.00
3/1/14,Queen Bee,205,"6,609","5,772","12,435","$34,570",706,5.68%,$2.78,$48.97
3/2/14,Z Force,438,"2,624","1,735","8,437","$9,197",476,5.64%,$1.09,$19.32
3/2/14,Ranger Danger,"1,185","5,843","4,312","22,930","$13,347","1,051",4.58%,$0.58,$12.70
3/2/14,Queen Bee,154,"4,971","4,227","11,767","$3,058",87,0.74%,$0.26,$35.15
3/3/14,Z Force,412,"2,360","1,348","7,496","$8,000",403,5.38%,$1.07,$19.85
3/3/14,Ranger Danger,"1,515","5,832","4,074","22,420","$11,660",949,4.23%,$0.52,$12.29
3/3/14,Queen Bee,158,"4,456","3,779","11,220","$3,235",97,0.87%,$0.29,$33.35
3/4/14,Z Force,329,"2,327","1,298","7,228","$7,791",371,5.13%,$1.08,$21.00
3/4/14,Ranger Danger,"1,129","5,560","3,819","22,000","$13,054",974,4.43%,$0.59,$13.40
3/4/14,Queen Bee,146,"4,484","3,786","11,130","$1,869",75,0.67%,$0.17,$24.92
3/5/14,Z Force,279,"2,274","1,239","7,243","$7,264",356,4.92%,$1.00,$20.40
3/5/14,Ranger Danger,"1,213","5,399","3,859","21,647","$10,511",872,4.03%,$0.49,$12.05
3/5/14,Queen Bee,128,"4,253","3,709","11,022","$2,463",78,0.71%,$0.22,$31.57
3/6/14,Z Force,272,"2,247","1,274","7,059","$7,063",377,5.34%,$1.00,$18.73
3/6/14,Ranger Danger,"1,177","5,529","3,790","21,953","$11,361",919,4.19%,$0.52,$12.36
3/6/14,Queen Bee,142,"4,228","3,721","10,973","$2,743",78,0.71%,$0.25,$35.16
3/7/14,Z Force,355,"2,666","1,455","7,748","$8,352",406,5.24%,$1.08,$20.57
3/7/14,Ranger Danger,"1,591","5,790","4,311","23,183","$11,848",968,4.18%,$0.51,$12.24
3/7/14,Queen Bee,136,"4,118","3,680","10,771","$3,214",83,0.77%,$0.30,$38.72
3/8/14,Z Force,419,"2,669","1,844","8,589","$8,446",421,4.90%,$0.98,$20.06
3/8/14,Ranger Danger,"1,551","6,569","5,025","23,978","$13,024","1,058",4.41%,$0.54,$12.31
3/8/14,Queen Bee,174,"4,614","4,057","11,140","$3,064",88,0.79%,$0.28,$34.81
3/9/14,Z Force,367,"2,566","1,683","7,959","$6,937",431,5.42%,$0.87,$16.10
3/9/14,Ranger Danger,860,"6,577","4,746","23,229","$10,710",979,4.22%,$0.46,$10.94
3/9/14,Queen Bee,151,"4,398","3,464","10,960","$2,275",74,0.68%,$0.21,$30.74
3/10/14,Z Force,280,"2,339","1,281","6,752","$6,875",337,4.99%,$1.02,$20.40
3/10/14,Ranger Danger,"1,205","5,710","4,007","22,945","$11,617","1,007",4.39%,$0.51,$11.54
3/10/14,Queen Bee,179,"4,283","3,639","10,858","$2,813",93,0.86%,$0.26,$30.25
3/11/14,Z Force,318,"2,179","1,248","6,892","$6,145",348,5.05%,$0.89,$17.66
3/11/14,Ranger Danger,520,"5,869","4,174","22,105","$10,418",953,4.31%,$0.47,$10.93
3/11/14,Queen Bee,170,"4,205","3,509","10,824","$2,786",83,0.77%,$0.26,$33.56
3/12/14,Z Force,307,"2,166","1,306","6,965","$6,470",335,4.81%,$0.93,$19.31
3/12/14,Ranger Danger,947,"5,667","3,994","22,291","$10,864",999,4.48%,$0.49,$10.87
3/12/14,Queen Bee,103,"3,785","3,023","10,644","$1,409",54,0.51%,$0.13,$26.09
3/13/14,Z Force,296,"2,276","1,224","6,962","$6,245",332,4.77%,$0.90,$18.81
3/13/14,Ranger Danger,939,"6,275","3,682","21,950","$12,863","1,008",4.59%,$0.59,$12.76
3/13/14,Queen Bee,164,"3,553","2,976","11,243","$8,029",164,1.46%,$0.71,$48.96
3/14/14,Z Force,399,"2,660","1,543","8,111","$7,824",426,5.25%,$0.96,$18.37
3/14/14,Ranger Danger,"1,338","6,638","4,889","23,612","$14,559","1,091",4.62%,$0.62,$13.34
3/14/14,Queen Bee,224,"4,233","3,748","12,048","$9,480",194,1.61%,$0.79,$48.86
3/15/14,Z Force,385,"2,679","1,764","8,390","$7,093",434,5.17%,$0.85,$16.34
3/15/14,Ranger Danger,"1,363","7,096","5,367","24,626","$16,159","1,229",4.99%,$0.66,$13.15
3/15/14,Queen Bee,190,"4,697","4,030","12,135","$6,142",163,1.34%,$0.51,$37.68
3/16/14,Z Force,405,"2,531","1,646","8,080","$7,840",415,5.14%,$0.97,$18.89
3/16/14,Ranger Danger,"1,184","6,909","5,175","24,508","$14,096","1,154",4.71%,$0.58,$12.22
3/16/14,Queen Bee,160,"4,711","4,003","12,339","$5,797",128,1.04%,$0.47,$45.29
3/17/14,Z Force,368,"2,338","1,384","7,285","$14,940",539,7.40%,$2.05,$27.72
3/17/14,Ranger Danger,"1,057","6,323","4,433","22,813","$12,477","1,048",4.59%,$0.55,$11.91
3/17/14,Queen Bee,180,"4,161","3,630","12,131","$4,050",107,0.88%,$0.33,$37.85
3/18/14,Z Force,295,"2,229","1,269","7,144","$7,271",379,5.31%,$1.02,$19.19
3/18/14,Ranger Danger,"1,237","5,188","3,704","22,031","$11,610",987,4.48%,$0.53,$11.76
3/18/14,Queen Bee,128,"4,053","3,554","11,930","$4,162",110,0.92%,$0.35,$37.83
3/19/14,Z Force,277,"2,688","1,484","8,268","$31,532",932,11.27%,$3.81,$33.83
3/19/14,Ranger Danger,390,"3,607","2,138","15,342","$12,325",950,6.19%,$0.80,$12.97
3/19/14,Queen Bee,140,"4,199","3,625","12,131","$3,253",98,0.81%,$0.27,$33.20
3/20/14,Z Force,311,"2,648","1,603","7,833","$17,021",601,7.67%,$2.17,$28.32
3/20/14,Ranger Danger,"1,350","4,558","2,787","15,175","$13,601","1,072",7.06%,$0.90,$12.69
3/20/14,Queen Bee,183,"4,205","3,714","12,235","$10,230",265,2.17%,$0.84,$38.61
3/21/14,Z Force,355,"2,869","1,743","8,216","$14,801",579,7.05%,$1.80,$25.56
3/21/14,Ranger Danger,"1,350","5,342","3,904","17,342","$14,409","1,100",6.34%,$0.83,$13.10
3/21/14,Queen Bee,185,"4,322","3,742","12,196","$7,552",202,1.66%,$0.62,$37.38
3/22/14,Z Force,434,"2,827","1,902","8,500","$12,939",560,6.59%,$1.52,$23.11
3/22/14,Ranger Danger,916,"6,099","4,705","18,120","$14,116","1,181",6.52%,$0.78,$11.95
3/22/14,Queen Bee,213,"4,734","4,058","12,312","$5,838",157,1.28%,$0.47,$37.18
3/23/14,Z Force,405,"2,599","1,806","8,044","$10,243",465,5.78%,$1.27,$22.03
3/23/14,Ranger Danger,"1,363","5,884","4,403","18,555","$13,485","1,164",6.27%,$0.73,$11.58
3/23/14,Queen Bee,173,"4,777","3,968","12,372","$5,031",138,1.12%,$0.41,$36.45
3/24/14,Z Force,329,"2,229","1,319","6,949","$8,941",437,6.29%,$1.29,$20.46
3/24/14,Ranger Danger,"1,197","5,427","3,593","16,911","$10,518",864,5.11%,$0.62,$12.17
3/24/14,Queen Bee,183,"4,161","3,640","12,152","$4,049",126,1.04%,$0.33,$32.13
3/25/14,Z Force,308,"2,150","1,259","6,814","$10,196",383,5.62%,$1.50,$26.62
3/25/14,Ranger Danger,"1,206","5,287","3,758","16,118","$9,849",884,5.49%,$0.61,$11.14
3/25/14,Queen Bee,167,"4,208","3,635","12,106","$4,284",119,0.98%,$0.35,$36.00
3/26/14,Z Force,366,"2,094","1,161","6,785","$7,493",351,5.17%,$1.10,$21.35
3/26/14,Ranger Danger,"1,057","4,040","2,443","14,270","$9,136",793,5.56%,$0.64,$11.52
3/26/14,Queen Bee,147,"4,140","3,614","12,231","$3,586",109,0.89%,$0.29,$32.90
3/27/14,Z Force,372,"2,019","1,222","6,752","$8,133",362,5.36%,$1.20,$22.47
3/27/14,Ranger Danger,980,"4,855","3,437","15,586","$9,829",828,5.31%,$0.63,$11.87
3/27/14,Queen Bee,181,"4,241","3,651","12,208","$12,985",204,1.67%,$1.06,$63.65
3/28/14,Z Force,426,"2,344","1,340","7,374","$7,995",365,4.95%,$1.08,$21.90
3/28/14,Ranger Danger,"1,204","5,004","3,510","16,005","$10,597",910,5.69%,$0.66,$11.65
3/28/14,Queen Bee,218,"4,206","3,704","12,187","$10,911",224,1.84%,$0.90,$48.71
3/29/14,Z Force,492,"2,386","1,577","7,727","$10,856",422,5.46%,$1.40,$25.73
3/29/14,Ranger Danger,830,"5,066","3,897","16,247","$11,565",953,5.87%,$0.71,$12.13
3/29/14,Queen Bee,216,"4,636","3,967","12,293","$9,776",181,1.47%,$0.80,$54.01
3/30/14,Z Force,427,"2,115","1,461","7,368","$8,634",371,5.04%,$1.17,$23.27
3/30/14,Ranger Danger,"1,278","4,946","3,835","16,459","$9,405",904,5.49%,$0.57,$10.40
3/30/14,Queen Bee,204,"4,623","3,887","12,349","$7,104",150,1.22%,$0.58,$47.36
3/31/14,Z Force,367,"2,101","1,260","6,368","$7,984",338,5.31%,$1.25,$23.62
3/31/14,Ranger Danger,"1,517","4,547","3,354","16,523","$9,414",842,5.10%,$0.57,$11.18
3/31/14,Queen Bee,206,"4,320","3,621","12,075","$5,365",134,1.11%,$0.44,$40.04
4/1/14,Z Force,328,"1,888","1,182","6,014","$7,549",308,5.12%,$1.26,$24.51
4/1/14,Ranger Danger,998,"4,599","3,129","15,457","$10,333",860,5.56%,$0.67,$12.02
4/1/14,Queen Bee,168,"4,152","3,561","11,958","$5,971",146,1.22%,$0.50,$40.90
4/2/14,Z Force,314,"1,819","1,047","6,232","$6,495",304,4.88%,$1.04,$21.37
4/2/14,Ranger Danger,"1,050","5,854","4,013","15,459","$10,287",851,5.51%,$0.67,$12.09
